2019-09-03 12:52:19,941 DEBUG Training subset = ['age' 'trestbps' 'fbs'], Timing = 0.008006095886230469, Size (Kb) = 0.0546875
2019-09-03 12:52:19,950 DEBUG Training subset = ['age' 'trestbps' 'restecg'], Timing = 0.008003950119018555, Size (Kb) = 0.0546875
2019-09-03 12:52:19,950 DEBUG Training subset = ['age' 'trestbps' 'restecg'], Timing = 0.008003950119018555, Size (Kb) = 0.0546875
2019-09-03 12:52:19,960 DEBUG Training subset = ['age' 'trestbps' 'thalach'], Timing = 0.009003639221191406, Size (Kb) = 0.0546875
2019-09-03 12:52:19,960 DEBUG Training subset = ['age' 'trestbps' 'thalach'], Timing = 0.009003639221191406, Size (Kb) = 0.0546875
2019-09-03 12:52:19,968 DEBUG Training subset = ['age' 'trestbps' 'exang'], Timing = 0.008006572723388672, Size (Kb) = 0.0546875
2019-09-03 12:52:19,968 DEBUG Training subset = ['age' 'trestbps' 'exang'], Timing = 0.008006572723388672, Size (Kb) = 0.0546875
2019-09-03 12:52:19,978 DEBUG Training subset = ['age' 'trestbps' 'oldpeak'], Timing = 0.008005857467651367, Size (Kb) = 0.0546875
2019-09-03 12:52:19,978 DEBUG Training subset = ['age' 'trestbps' 'oldpeak'], Timing = 0.008005857467651367, Size (Kb) = 0.0546875
2019-09-03 12:52:19,987 DEBUG Training subset = ['age' 'trestbps' 'slope'], Timing = 0.008007049560546875, Size (Kb) = 0.0546875
2019-09-03 12:52:19,987 DEBUG Training subset = ['age' 'trestbps' 'slope'], Timing = 0.008007049560546875, Size (Kb) = 0.0546875
2019-09-03 12:52:19,995 DEBUG Training subset = ['age' 'trestbps' 'ca'], Timing = 0.008005380630493164, Size (Kb) = 0.0546875
2019-09-03 12:52:19,995 DEBUG Training subset = ['age' 'trestbps' 'ca'], Timing = 0.008005380630493164, Size (Kb) = 0.0546875
2019-09-03 12:52:20,004 DEBUG Training subset = ['age' 'trestbps' 'thal'], Timing = 0.00800466537475586, Size (Kb) = 0.0546875
2019-09-03 12:52:20,004 DEBUG Training subset = ['age' 'trestbps' 'thal'], Timing = 0.00800466537475586, Size (Kb) = 0.0546875
2019-09-03 12:52:20,013 DEBUG Training subset = ['age' 'chol' 'fbs'], Timing = 0.009006500244140625, Size (Kb) = 0.0546875
2019-09-03 12:52:20,013 DEBUG Training subset = ['age' 'chol' 'fbs'], Timing = 0.009006500244140625, Size (Kb) = 0.0546875
2019-09-03 12:52:20,022 DEBUG Training subset = ['age' 'chol' 'restecg'], Timing = 0.009004831314086914, Size (Kb) = 0.0546875
2019-09-03 12:52:20,022 DEBUG Training subset = ['age' 'chol' 'restecg'], Timing = 0.009004831314086914, Size (Kb) = 0.0546875
2019-09-03 12:52:20,031 DEBUG Training subset = ['age' 'chol' 'thalach'], Timing = 0.009006500244140625, Size (Kb) = 0.0546875
2019-09-03 12:52:20,031 DEBUG Training subset = ['age' 'chol' 'thalach'], Timing = 0.009006500244140625, Size (Kb) = 0.0546875
2019-09-03 12:52:20,040 DEBUG Training subset = ['age' 'chol' 'exang'], Timing = 0.008003473281860352, Size (Kb) = 0.0546875
2019-09-03 12:52:20,040 DEBUG Training subset = ['age' 'chol' 'exang'], Timing = 0.008003473281860352, Size (Kb) = 0.0546875
2019-09-03 12:52:20,051 DEBUG Training subset = ['age' 'chol' 'oldpeak'], Timing = 0.011004209518432617, Size (Kb) = 0.0546875
2019-09-03 12:52:20,051 DEBUG Training subset = ['age' 'chol' 'oldpeak'], Timing = 0.011004209518432617, Size (Kb) = 0.0546875
2019-09-03 12:52:20,061 DEBUG Training subset = ['age' 'chol' 'slope'], Timing = 0.00803375244140625, Size (Kb) = 0.0546875
2019-09-03 12:52:20,061 DEBUG Training subset = ['age' 'chol' 'slope'], Timing = 0.00803375244140625, Size (Kb) = 0.0546875
2019-09-03 12:52:20,070 DEBUG Training subset = ['age' 'chol' 'ca'], Timing = 0.00900578498840332, Size (Kb) = 0.0546875
2019-09-03 12:52:20,070 DEBUG Training subset = ['age' 'chol' 'ca'], Timing = 0.00900578498840332, Size (Kb) = 0.0546875
2019-09-03 12:52:20,079 DEBUG Training subset = ['age' 'chol' 'thal'], Timing = 0.009006023406982422, Size (Kb) = 0.0546875
2019-09-03 12:52:20,079 DEBUG Training subset = ['age' 'chol' 'thal'], Timing = 0.009006023406982422, Size (Kb) = 0.0546875
2019-09-03 12:52:20,087 DEBUG Training subset = ['age' 'fbs' 'restecg'], Timing = 0.0070040225982666016, Size (Kb) = 0.0546875
2019-09-03 12:52:20,087 DEBUG Training subset = ['age' 'fbs' 'restecg'], Timing = 0.0070040225982666016, Size (Kb) = 0.0546875
2019-09-03 12:52:20,097 DEBUG Training subset = ['age' 'fbs' 'thalach'], Timing = 0.00797724723815918, Size (Kb) = 0.0546875
2019-09-03 12:52:20,097 DEBUG Training subset = ['age' 'fbs' 'thalach'], Timing = 0.00797724723815918, Size (Kb) = 0.0546875
2019-09-03 12:52:20,105 DEBUG Training subset = ['age' 'fbs' 'exang'], Timing = 0.008007287979125977, Size (Kb) = 0.0546875
2019-09-03 12:52:20,105 DEBUG Training subset = ['age' 'fbs' 'exang'], Timing = 0.008007287979125977, Size (Kb) = 0.0546875
2019-09-03 12:52:20,114 DEBUG Training subset = ['age' 'fbs' 'oldpeak'], Timing = 0.008006572723388672, Size (Kb) = 0.0546875
2019-09-03 12:52:20,114 DEBUG Training subset = ['age' 'fbs' 'oldpeak'], Timing = 0.008006572723388672, Size (Kb) = 0.0546875
2019-09-03 12:52:20,123 DEBUG Training subset = ['age' 'fbs' 'slope'], Timing = 0.007006168365478516, Size (Kb) = 0.0546875
2019-09-03 12:52:20,123 DEBUG Training subset = ['age' 'fbs' 'slope'], Timing = 0.007006168365478516, Size (Kb) = 0.0546875
2019-09-03 12:52:20,131 DEBUG Training subset = ['age' 'fbs' 'ca'], Timing = 0.008007049560546875, Size (Kb) = 0.0546875
